"VEGOBJEKT-ID";"TYPE-ID";"VERSJON";"FØRSTE FOREKOMST";"STARTDATO";"SLUTTDATO";"SIST MODIFISERT";"NAVN";"LINK TIL INFOSIDER";"TILLEGGSINFORMASJON";"GEOMETRI, PUNKT";"LOK.KOMMUNE";"LOK.KOMMUNENUMMER";"LOK.FYLKE";"LOK.FYLKESNUMMER";"LOK.RIKSVEGRUTE";"LOK.KONTRAKTSOMRÅDE";"LOK.VEGSYSTEMREFERANSE";"LOK.VEGKATEGORI";"LOK.FASE";"LOK.VEGNUMMER";"LOK.STREKNING";"LOK.DELSTREKNING";"FRA METER";"TIL METER";"VEGLENKESEKVENSID";"STARTPOSISJON";"SLUTTPOSISJON";"STREKNING.RETNING";"SIDEPOSISJON";"KJØREFELT";"TYPEVEG";"LENGDE";"MOR";"BARN";"GEOMETRI";"GEO.HØYDEREFERANSE"
"671529147";"638";"2";"1";"2023-01-02";"";"2024-07-04T12:24:32";"Bergen trafikkstasjon";"https://www.vegvesen.no/om-oss/kontakt-oss/trafikkstasjoner/bergen-kjoretoy/";"";"POINT (-29970.60648991668 6743320.316904076)";"Bergen";"4601";"Vestland";"46";"";"4604 Bergen-Os-Austevoll 2021-2026,E1260 Hordaland vest 2016-2022,4611 Tunnel 2021-2025,E4651 Bergen";"FV578 S3D1 m283";"Fylkesveg";"Eksisterende";"578";"3";"1";"283,178";"283,178";"805421";"0,16018467";"0,16018467";"WITH";"LEFT";"";"enkelBilveg";"0";"";"44:1010962829";"POINT Z(-29959.057 6743279.763 90.961)";""
"763214448";"638";"1";"1";"2017-02-17";"";"2023-01-02T08:54:30";"Stord trafikkstasjon";"https://www.vegvesen.no/om-oss/kontakt-oss/trafikkstasjoner/stord/";"";"POINT (-33182.1019644668 6664641.82873362)";"Stord";"4614";"Vestland";"46";"RUTE4A";"E1260 Hordaland vest 2016-2022,9302 Haugesund 2021-2026 (2022-),9351 Rogaland og Sunnhordland 2022-2027,9302 Haugesund 2021-2026,Vegoppmerking Vest,9361 automasjon Vestland og Rogaland 2022-2025";"EV39 S85D1 m7599";"Europaveg";"Eksisterende";"39";"85";"1";"7599,082";"7599,082";"805611";"0,14517184";"0,14517184";"WITH";"RIGHT";"";"enkelBilveg";"0";"";"44:892346848";"POINT Z(-33201.521 6664667.506 43.977)";"fot"
"764150864";"638";"1";"1";"2017-03-06";"";"2023-06-30T12:51:03";"Bergen trafikkstasjon, førerkort";"https://www.vegvesen.no/om-oss/kontakt-oss/trafikkstasjoner/bergen-forerkort/";"";"POINT (-31626.6216550971 6733352.16864789)";"Bergen";"4601";"Vestland";"46";"";"4604 Bergen-Os-Austevoll 2021-2026,E1260 Hordaland vest 2016-2022,4611 Tunnel 2021-2025,E4651 Bergen";"FV5332 S1D1 m600";"Fylkesveg";"Eksisterende";"5332";"1";"1";"600,471";"600,471";"2353784";"0,85286137";"0,85286137";"WITH";"RIGHT";"";"kanalisertVeg";"0";"";"";"POINT Z(-31649.703 6733348.758 8.405)";"Ikke registrert"
"894208990";"638";"1";"1";"2018-08-28";"";"2022-09-21T08:53:34";"Kristiansand trafikkstasjon";"https://www.vegvesen.no/om-oss/kontakt-oss/trafikkstasjoner/kristiansand/";"";"POINT (84738.190599253 6466136.51211523)";"Kristiansand";"4204";"Agder";"42";"RUTE3";"1003 Kristiansand 2019-2027,9255 Agder og Telemark Vest Elektro 2023-2028,Vegoppmerking Sør 2023-2025,9204 Agder 2024-2026,9204 Agder 2026-2029";"EV39 S127D1 m1496 KD2 m158";"Europaveg";"Eksisterende";"39";"127";"1";"158";"158";"121383";"0,56721354";"0,56721354";"WITH";"RIGHT";"";"rampe";"0";"";"";"POINT Z(84772.214 6466183.502 57.65)";"Ikke registrert"
"894209143";"638";"2";"1";"2022-12-10";"";"2024-08-20T12:08:10";"Skien trafikkstasjon";"https://www.vegvesen.no/om-oss/kontakt-oss/trafikkstasjoner/skien/";"";"POINT (193595.463391718 6570780.41938538)";"Skien";"4003";"Telemark";"40";"RUTE5A";"9201 Vestfold og Telemark øst 2023-2028,9254 Vestfold og Telemark Øst Elektro 2023-2028,Vegoppmerking Sør 2023-2025";"RV36 S2D1 m2371";"Riksveg";"Eksisterende";"36";"2";"1";"2370,939";"2370,939";"521176";"0,56197959";"0,56197959";"WITH";"RIGHT";"";"kanalisertVeg";"0";"";"44:1017108972";"POINT Z(193407.263 6570781.717 19.476)";"Ikke registrert"
"894209172";"638";"1";"1";"2018-08-28";"";"2024-01-23T22:03:02";"Rjukan trafikkstasjon";"https://www.vegvesen.no/om-oss/kontakt-oss/trafikkstasjoner/rjukan/";"";"POINT (145859.43937866 6655080.18745466)";"Tinn";"4026";"Telemark";"40";"";"3807 Rjukan 2021-2026,3852 Grønt Rjukan 2022-2026,3821 Telemark Elektro 2023-2028";"FV37 S9D1 m5783";"Fylkesveg";"Eksisterende";"37";"9";"1";"5783,105";"5783,105";"521414";"0,25619947";"0,25619947";"WITH";"RIGHT";"";"enkelBilveg";"0";"";"";"POINT Z(145821.346 6655234.44 252.66)";"Ikke registrert"
"894209223";"638";"2";"1";"2022-12-10";"";"2022-12-10T21:26:06";"Notodden trafikkstasjon";"https://www.vegvesen.no/om-oss/kontakt-oss/trafikkstasjoner/notodden/";"";"POINT (173672.635625293 6617430.67779226)";"Notodden";"4005";"Telemark";"40";"RUTE5A";"0802 Lifjell 2019-2024,9201 Vestfold og Telemark øst 2023-2028,0802 Lifjell 2022-2024,9254 Vestfold og Telemark Øst Elektro 2023-2028,Vegoppmerking Sør 2023-2025";"EV134 S38D1 m8522";"Europaveg";"Eksisterende";"134";"38";"1";"8522,466";"8522,466";"1664979";"0,46781499";"0,46781499";"WITH";"RIGHT";"";"enkelBilveg";"0";"";"44:1017108973";"POINT Z(173611.306 6617304.239 19.151)";"Ikke registrert"
"894209512";"638";"2";"1";"2022-12-10";"";"2023-11-17T13:09:35";"Tønsberg trafikkstasjon";"https://www.vegvesen.no/om-oss/kontakt-oss/trafikkstasjoner/tonsberg/";"";"POINT (235494.3498594683 6581898.429947959)";"Tønsberg";"3905";"Vestfold";"39";"";"0701 Vestfold øst 2019-2025,3820 Elektro øst 2021-2026,3902 Vestfold øst vei 2025-2030,3952 Grønt Vestfold øst 2025-2030";"FV256 S7D1 m8021";"Fylkesveg";"Eksisterende";"256";"7";"1";"8020,592";"8020,592";"1175882";"0,00324752";"0,00324752";"AGAINST";"LEFT";"";"enkelBilveg";"0";"";"44:1017108974";"POINT Z(235403.444 6582040.956 20.267)";""
"894209593";"638";"1";"1";"2018-08-28";"";"2022-09-21T08:53:34";"Larvik trafikkstasjon";"https://www.vegvesen.no/om-oss/kontakt-oss/trafikkstasjoner/larvik/";"";"POINT (215250.333745772 6556900.15739366)";"Larvik";"3909";"Vestfold";"39";"";"0701 Vestfold øst 2019-2025,3820 Elektro øst 2021-2026,3903 Vestfold syd vei 2025-2030,3953 Grønt Vestfold syd 2025-2030";"FV2990 S1D1 m3378";"Fylkesveg";"Eksisterende";"2990";"1";"1";"3378,264";"3378,264";"2620349";"0,95438943";"0,95438943";"WITH";"LEFT";"";"enkelBilveg";"0";"";"";"POINT Z(215236.467 6556912.791 49.959)";"Ikke registrert"
"894209791";"638";"1";"1";"2018-08-28";"";"2024-02-13T09:10:15";"Kongsberg trafikkstasjon";"https://www.vegvesen.no/om-oss/kontakt-oss/trafikkstasjoner/kongsberg/";"";"POINT (198858.872243043 6623700.7650295)";"Kongsberg";"3303";"Buskerud";"33";"";"0603 Kongsberg 2019-2024,0614 Buskerud elektro og veglys 2020-2025,30-302 Drammen og Kongsberg 2024-2029,0603 Kongsberg 2022-2024,0614 Buskerud elektro og veglys 2023-2025";"FV40 S10D1 m12282";"Fylkesveg";"Eksisterende";"40";"10";"1";"12282,095";"12282,095";"181108";"0,99657692";"0,99657692";"WITH";"RIGHT";"";"kanalisertVeg";"0";"";"";"POINT Z(199013.382 6623720.677 176.965)";"Ikke registrert"
